ATAU   250     1.120     0.010  CLOUD-top sub-layers: max#, factor, min dtau
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
  400  2.4743  1.177  2200.0  1.0000  1.000 2.318 3.383 3.677 4.144 4.320 4.586 4.814
  600  2.6330  1.177  2200.0  1.0000  1.000 2.316 3.297 3.529 3.799 3.814 3.849 3.864
 1000  2.6210  1.177  2200.0  0.9995  1.000 2.345 3.224 3.387 3.422 3.241 3.028 2.821
45 SSa70(rvm) Sea Salt (accum), RH=70 (n@400=1.37 log-norm: r=.38um/sigma=2.0)
  300  2.3305  1.324  2200.0  1.0000  1.000 2.368 3.522 3.911 4.518 4.845 5.290 5.712
  400  2.4328  1.324  2200.0  1.0000  1.000 2.347 3.450 3.796 4.289 4.526 4.828 5.109
  600  2.5958  1.324  2200.0  1.0000  1.000 2.338 3.359 3.640 3.953 4.027 4.111 4.175
 1000  2.6449  1.324  2200.0  0.9996  1.000 2.364 3.287 3.502 3.588 3.456 3.284 3.107
46 SSa80(rvm) Sea Salt (accum), RH=80 (n@400=1.36 log-norm: r=.42um/sigma=2.0)
  300  2.3054  1.457  2200.0  1.0000  1.000 2.389 3.568 3.993 4.612 4.977 5.442 5.901
  400  2.3997  1.457  2200.0  1.0000  1.000 2.367 3.498 3.881 4.395 4.678 5.011 5.334
  600  2.5625  1.457  2200.0  1.0000  1.000 2.353 3.404 3.720 4.068 4.188 4.313 4.420
 1000  2.6557  1.457  2200.0  0.9997  1.000 2.374 3.329 3.579 3.705 3.615 3.479 3.334
47 SSa90(rvm) Sea Salt (accum), RH=90 (n@400=1.35 log-norm: r=.50um/sigma=2.0)
  300  2.2634  1.740  2200.0  1.0000  1.000 2.423 3.640 4.121 4.759 5.193 5.694 6.222
  400  2.3437  1.740  2200.0  1.0000  1.000 2.396 3.571 4.012 4.568 4.926 5.317 5.717
  600  2.4954  1.740  2200.0  1.0000  1.000 2.373 3.471 3.843 4.253 4.458 4.662 4.853
 1000  2.6519  1.740  2200.0  0.9998  1.000 2.384 3.387 3.688 3.887 3.875 3.816 3.740
48 SSa95(rvm) Sea Salt (accum), RH=95 (n@400=1.35 log-norm: r=.60um/sigma=2.0)
  300  2.2247  2.119  2200.0  1.0000  1.000 2.454 3.705 4.237 4.898 5.388 5.925 6.518
  400  2.2881  2.119  2200.0  1.0000  1.000 2.428 3.644 4.141 4.734 5.166 5.612 6.093
  600  2.4211  2.119  2200.0  1.0000  1.000 2.393 3.538 3.962 4.436 4.729 5.017 5.304
 1000  2.6125  2.119  2200.0  0.9998  1.000 2.390 3.440 3.787 4.064 4.140 4.174 4.187
49 SSa99(rvm) Sea Salt (accum), RH=99 (n@400=1.34 log-norm: r=.99um/sigma=2.0)
  300  2.1540  3.484  2200.0  1.0000  1.000 2.518 3.828 4.455 5.141 5.742 6.338 7.067
  400  2.1920  3.484  2200.0  1.0000  1.000 2.497 3.790 4.399 5.052 5.620 6.162 6.806
  600  2.2683  3.484  2200.0  1.0000  1.000 2.455 3.700 4.248 4.841 5.318 5.769 6.271
 1000  2.4312  3.484  2200.0  0.9998  1.000 2.410 3.565 4.015 4.471 4.770 5.037 5.303
50 SSc00(rvm) Sea Salt (coarse), RH=00 (n@400=1.50 log-norm: r=1.8um/sigma=2.0)
  300  2.1044  5.674  2200.0  0.9995  1.000 2.411 3.610 3.964 4.970 5.369 6.477 7.058
  400  2.1270  5.674  2200.0  1.0000  1.000 2.399 3.592 3.941 4.926 5.304 6.354 6.926
